id,surahNumber,verseNumber,page,juz,hizb
v3_118,3,118,65,4,7.4
v3_119,3,119,65,4,7.4
v3_120,3,120,65,4,7.4
v3_121,3,121,65,4,7.4
v3_122,3,122,66,4,7.5
v3_123,3,123,66,4,7.5
v3_124,3,124,66,4,7.5
v3_125,3,125,66,4,7.5
v3_126,3,126,66,4,7.5
v3_127,3,127,66,4,7.5
v3_128,3,128,66,4,7.5
v3_129,3,129,66,4,7.5
v3_130,3,130,66,4,7.5
v3_131,3,131,66,4,7.5
v3_132,3,132,66,4,7.5
v3_133,3,133,67,4,7.6
v3_134,3,134,67,4,7.6
v3_135,3,135,67,4,7.6
v3_136,3,136,67,4,7.6
v3_137,3,137,67,4,7.6
v3_138,3,138,67,4,7.6
v3_139,3,139,67,4,7.6
v3_140,3,140,67,4,7.6
v3_141,3,141,68,4,7.7
v3_142,3,142,68,4,7.7
v3_143,3,143,68,4,7.7
v3_144,3,144,68,4,7.7
v3_145,3,145,68,4,7.7
v3_146,3,146,68,4,7.7
v3_147,3,147,68,4,7.7
v3_148,3,148,68,4,7.7
v3_149,3,149,69,4,7.8
v3_150,3,150,69,4,7.8
v3_151,3,151,69,4,7.8
v3_152,3,152,69,4,7.8
v3_153,3,153,69,4,7.8
v3_154,3,154,70,4,7.9
v3_155,3,155,70,4,7.9
v3_156,3,156,70,4,7.9
v3_157,3,157,70,4,7.9
v3_158,3,158,71,4,8.0
v3_159,3,159,71,4,8.0
v3_160,3,160,71,4,8.0
v3_161,3,161,71,4,8.0
v3_162,3,162,71,4,8.0
v3_163,3,163,71,4,8.0
v3_164,3,164,71,4,8.0
v3_165,3,165,71,4,8.0
v3_166,3,166,72,4,8.1
v3_167,3,167,72,4,8.1
v3_168,3,168,72,4,8.1
v3_169,3,169,72,4,8.1
v3_170,3,170,72,4,8.1
v3_171,3,171,72,4,8.1
v3_172,3,172,72,4,8.1
v3_173,3,173,72,4,8.1
v3_174,3,174,73,4,8.2
v3_175,3,175,73,4,8.2
v3_176,3,176,73,4,8.2
v3_177,3,177,73,4,8.2
v3_178,3,178,73,4,8.2
v3_179,3,179,73,4,8.2
v3_180,3,180,73,4,8.2
v3_181,3,181,74,4,8.3
v3_182,3,182,74,4,8.3
v3_183,3,183,74,4,8.3
v3_184,3,184,74,4,8.3
v3_185,3,185,74,4,8.3
v3_186,3,186,74,4,8.3
v3_187,3,187,75,4,8.4
v3_188,3,188,75,4,8.4
v3_189,3,189,75,4,8.4
v3_190,3,190,75,4,8.4
v3_191,3,191,75,4,8.4
v3_192,3,192,75,4,8.4
v3_193,3,193,75,4,8.4
v3_194,3,194,75,4,8.4
v3_195,3,195,76,4,8.5
v3_196,3,196,76,4,8.5
v3_197,3,197,76,4,8.5
v3_198,3,198,76,4,8.5
v3_199,3,199,76,4,8.5
v3_200,3,200,76,4,8.5
v4_1,4,1,77,4,8.6
v4_2,4,2,77,4,8.6
v4_3,4,3,77,4,8.6
v4_4,4,4,77,4,8.6
v4_5,4,5,77,4,8.6
v4_6,4,6,77,4,8.6
v4_7,4,7,78,4,8.7
v4_8,4,8,78,4,8.7
v4_9,4,9,78,4,8.7
v4_10,4,10,78,4,8.7
v4_11,4,11,78,4,8.7
v4_12,4,12,79,4,8.8
v4_13,4,13,79,4,8.8
v4_14,4,14,79,4,8.8
v4_15,4,15,80,4,8.9
v4_16,4,16,80,4,8.9
v4_17,4,17,80,4,8.9
v4_18,4,18,80,4,8.9
v4_19,4,19,80,4,8.9
v4_20,4,20,81,5,9.0
v4_21,4,21,81,5,9.0
v4_22,4,22,81,5,9.0
v4_23,4,23,81,5,9.0
v4_24,4,24,82,5,9.1
v4_25,4,25,82,5,9.1
v4_26,4,26,82,5,9.1
v4_27,4,27,83,5,9.2
v4_28,4,28,83,5,9.2
v4_29,4,29,83,5,9.2
v4_30,4,30,83,5,9.2
v4_31,4,31,83,5,9.2
v4_32,4,32,83,5,9.2
v4_33,4,33,83,5,9.2
v4_34,4,34,84,5,9.3
v4_35,4,35,84,5,9.3
v4_36,4,36,84,5,9.3
v4_37,4,37,84,5,9.3
v4_38,4,38,85,5,9.4
v4_39,4,39,85,5,9.4
v4_40,4,40,85,5,9.4
v4_41,4,41,85,5,9.4
v4_42,4,42,85,5,9.4
v4_43,4,43,85,5,9.4
v4_44,4,44,85,5,9.4
v4_45,4,45,86,5,9.5
v4_46,4,46,86,5,9.5
v4_47,4,47,86,5,9.5
v4_48,4,48,86,5,9.5
v4_49,4,49,86,5,9.5
v4_50,4,50,86,5,9.5
v4_51,4,51,86,5,9.5
v4_52,4,52,87,5,9.6
v4_53,4,53,87,5,9.6
v4_54,4,54,87,5,9.6
v4_55,4,55,87,5,9.6
v4_56,4,56,87,5,9.6
v4_57,4,57,87,5,9.6
v4_58,4,58,87,5,9.6
v4_59,4,59,87,5,9.6
v4_60,4,60,88,5,9.7
v4_61,4,61,88,5,9.7
v4_62,4,62,88,5,9.7
v4_63,4,63,88,5,9.7
v4_64,4,64,88,5,9.7
v4_65,4,65,88,5,9.7
